"","Estimate","Std. Error","t value","Pr(>|t|)"
"rama2d_r459",1441828.32129619,1290322.25102431,1.11741723445566,0.263820650929429
"rama2d_r460",2485282.97516139,1277864.38432564,1.9448722459488,0.0517952377522469
"rama2d_r461",639595.602283934,1253202.03608683,0.510369105592182,0.609794861170332
"rama2d_r462",3182683.3030249,1253450.53805231,2.53913752988639,0.0111152316487837
"rama2d_r463",866546.20841219,1328846.30114469,0.652104165595174,0.514336590622401
"rama2d_r464",1172037.05815304,1249838.80238952,0.937750577044229,0.348376554571842
"rama2d_r465",1521692.0882914,1254026.01292083,1.21344539316783,0.224964577999123
"rama2d_r466",2493070.76982929,1305494.50164803,1.90967542696051,0.0561800009505836
"rama2d_r468",246863.027118978,1249296.15898378,0.197601685832272,0.843357416072059
"rama2d_r469",1489819.57692015,1249625.23293152,1.1922131033039,0.233182630187628
"rama2d_r470",2353391.06292932,1258277.12020875,1.87032810589363,0.0614433588956967
"rama2d_r471",1643602.4090541,1252344.34700511,1.31242051196594,0.189383542424953
"rama2d_r472",1603158.89377777,1298894.86956066,1.2342483840282,0.217115420904619
"rama2d_r473",1114604.11286471,1254741.3588188,0.888313838569871,0.374375683668476
"rama2d_r474",1353651.75652513,1253977.68241538,1.0794863222109,0.280375528077449
"rama2d_r475",278018.330841644,1272272.0568406,0.218521132604327,0.827023872315429
"rama2d_r477",156481.942975644,1262181.78148294,0.123977342464723,0.901333649250124
"rama2d_r478",1313546.79728351,1273375.4946558,1.03154709886935,0.302288683799003
"rama2d_r479",430907.232734907,1264943.44634492,0.340653358045392,0.73336580331649
"rama2d_r480",188671.911009279,1251582.43158891,0.15074669174587,0.880176069593576
"rama2d_r481",-652458.245504663,1247716.52734042,-0.522921858617531,0.601030652887433
"rama2d_r482",296883.218004415,1251259.25613145,0.237267549909917,0.812450082371816
"rama2d_r484",2122946.91724326,1247265.36247526,1.70208119387696,0.088745568819035
"rama2d_r485",1821648.41775092,1247156.54760241,1.46064134550946,0.144119372048408
"rama2d_r486",1269709.43871364,1247340.21810582,1.01793353592157,0.308713837409133
"rama2d_r487",-163550.084463553,1273772.35084552,-0.128398205813613,0.897834301211763
"rama2d_r488",-129043.516156863,1250995.96615649,-0.103152623707757,0.917842200754947
"rama2d_r490",26197.7166278906,1259901.4819561,0.0207934644121669,0.983410483599905
"rama2d_r491",872065.134982643,1322183.74738326,0.659564252478941,0.509536149430743
"rama2d_r492",-458833.33454323,1253737.50785538,-0.365972407835274,0.714387014774598
"rama2d_r493",285463.43803604,1254568.8174869,0.227539082796485,0.820005393600171
